City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,Medford,42.3265,-122.8756,274.66,76,3,1.36,US,2023-01-24 04:58:59
148,Cidreira,-30.1811,-50.2056,296.98,84,0,4.79,BR,2023-01-24 04:59:00
149,Bredasdorp,-34.5322,20.0403,291.56,66,0,4.59,ZA,2023-01-24 04:59:00
150,Manjacaze,-24.7117,33.8828,299.93,68,97,1.34,MZ,2023-01-24 04:59:01
151,Krasnoselkup,65.7,82.4667,240.29,99,12,2.38,RU,2023-01-24 04:59:01
152,Petropavlovka,50.6114,105.3196,246.94,82,100,1.1,RU,2023-01-24 04:59:01
153,Souillac,-20.5167,57.5167,296.36,100,75,1.54,MU,2023-01-24 04:59:02
154,Saskylakh,71.9167,114.0833,250.63,85,100,1.33,RU,2023-01-24 04:59:02
155,Codrington,-38.2667,141.9667,294.37,65,85,6.67,AU,2023-01-24 04:59:02
156,Vuktyl,63.8567,57.3094,259.19,95,64,4.14,RU,2023-01-24 04:59:03
157,College,64.8569,-147.8028,255.49,72,100,0.0,US,2023-01-24 04:59:03
158,Hirara,24.8,125.2833,289.07,67,75,16.46,JP,2023-01-24 04:59:04
159,Jega,12.2175,4.3792,294.9,19,1,4.37,NG,2023-01-24 04:59:04
160,Norman Wells,65.282,-126.8329,245.17,76,75,0.0,CA,2023-01-24 04:59:04
161,Pozo Colorado,-23.4923,-58.7972,295.89,86,100,1.08,PY,2023-01-24 04:59:05
162,Joshimath,30.5667,79.5667,283.53,70,100,2.04,IN,2023-01-24 04:59:05
163,Blagoyevo,63.3667,47.9167,260.57,94,93,3.47,RU,2023-01-24 04:59:05
164,Talnakh,69.4865,88.3972,242.19,94,34,3.81,RU,2023-01-24 04:59:06
165,Flin Flon,54.7682,-101.865,253.26,99,100,1.66,CA,2023-01-24 04:59:06
166,Hilo,19.7297,-155.09,296.08,94,33,0.45,US,2023-01-24 04:59:06
167,Touros,-5.1989,-35.4608,299.16,78,45,4.43,BR,2023-01-24 04:59:07
168,Camabatela,-8.1881,15.375,288.57,99,98,0.87,AO,2023-01-24 04:59:07
169,Bojnurd,37.4747,57.329,271.12,80,75,2.06,IR,2023-01-24 04:59:07
170,Bahawalpur,29.4,71.6833,288.93,26,55,5.37,PK,2023-01-24 04:59:08
171,Arraial Do Cabo,-22.9661,-42.0278,296.63,94,100,1.46,BR,2023-01-24 04:59:08
172,Dong Xoai,11.5333,106.9167,307.02,37,26,4.04,VN,2023-01-24 04:59:08
173,Pacific Grove,36.6177,-121.9166,281.29,72,0,2.24,US,2023-01-24 04:59:09
174,Leningradskiy,69.3833,178.4167,241.42,93,7,4.02,RU,2023-01-24 04:59:09
175,Brasileia,-11.0161,-68.7481,295.95,93,33,1.3,BR,2023-01-24 04:59:09
176,Rocha,-34.4833,-54.3333,287.61,83,0,1.54,UY,2023-01-24 04:59:10
177,Caravelas,-17.7125,-39.2481,298.6,86,100,4.39,BR,2023-01-24 04:59:10
178,Moron,-34.6534,-58.6198,299.8,57,0,2.56,AR,2023-01-24 04:59:10
179,Iqaluit,63.7506,-68.5145,248.0,75,100,3.09,CA,2023-01-24 04:59:11
180,Klaksvik,62.2266,-6.589,281.66,97,100,8.22,FO,2023-01-24 05:00:11
181,Hami,42.8,93.45,263.36,25,0,0.91,CN,2023-01-24 05:00:11
182,Karasjok,69.4719,25.5112,266.4,80,45,5.18,NO,2023-01-24 05:00:12
183,Geraldton,-28.7667,114.6,300.38,61,75,7.2,AU,2023-01-24 05:00:12
184,Chiang Khong,20.2613,100.4046,301.84,27,27,0.62,TH,2023-01-24 05:00:13
185,Verkhnevilyuysk,63.4453,120.3167,245.05,94,100,1.04,RU,2023-01-24 05:00:13
186,Grindavik,63.8424,-22.4338,278.41,100,100,7.2,IS,2023-01-24 05:00:14
187,Kaitangata,-46.2817,169.8464,287.58,59,39,3.66,NZ,2023-01-24 05:00:14
188,Faya,18.3851,42.4509,285.05,77,2,0.74,SA,2023-01-24 05:00:15
189,Soe,-9.8607,124.284,299.28,63,99,3.0,ID,2023-01-24 05:00:15
190,Mabaruma,8.2,-59.7833,294.21,98,30,0.91,GY,2023-01-24 05:00:16
191,Nara,34.6851,135.8049,280.77,36,94,9.01,JP,2023-01-24 05:00:16
192,Lorengau,-2.0226,147.2712,300.26,80,100,1.69,PG,2023-01-24 05:00:17
193,Nangong,37.3581,115.3744,267.34,9,0,3.39,CN,2023-01-24 05:00:18
194,Batesville,35.7698,-91.641,276.45,80,0,0.0,US,2023-01-24 04:55:37
195,Road Town,18.4167,-64.6167,298.81,69,51,8.07,VG,2023-01-24 04:59:41
196,Perth,-31.9333,115.8333,308.25,45,0,7.2,AU,2023-01-24 05:00:10
197,Misratah,32.3754,15.0925,287.48,72,4,4.51,LY,2023-01-24 05:00:19
198,Dudinka,69.4058,86.1778,237.47,98,14,2.28,RU,2023-01-24 05:00:19
199,Torbay,47.6666,-52.7314,276.08,95,100,18.52,CA,2023-01-24 05:00:19
200,Benghazi,32.1167,20.0667,286.25,50,0,4.64,LY,2023-01-24 05:00:20
201,Casala-An,9.1167,123.05,300.39,76,100,5.8,PH,2023-01-24 05:00:20
202,Wloszczowa,50.8526,19.9659,276.15,95,64,3.78,PL,2023-01-24 04:58:15
203,Aksarka,66.5606,67.7975,267.65,94,100,6.0,RU,2023-01-24 05:00:21
204,Ancud,-41.8697,-73.8203,284.76,85,64,4.15,CL,2023-01-24 05:00:21
205,Hurghada,27.2574,33.8129,288.79,67,0,6.01,EG,2023-01-24 05:00:22
206,Turbat,26.0023,63.044,285.94,21,0,10.36,PK,2023-01-24 05:00:22
207,Vardo,70.3705,31.1107,270.14,68,38,12.35,NO,2023-01-24 05:00:23
208,Santa Fe,-31.6333,-60.7,299.79,51,1,1.34,AR,2023-01-24 04:59:15
209,Samana,19.2056,-69.3369,295.23,88,13,2.17,DO,2023-01-24 05:00:23
210,Santa Cruz De La Palma,28.6835,-17.7642,290.23,63,100,4.12,ES,2023-01-24 05:00:24
211,Chabahar,25.2919,60.643,288.87,28,0,3.31,IR,2023-01-24 05:00:24
212,Mount Gambier,-37.8333,140.7667,296.65,44,40,4.14,AU,2023-01-24 05:00:25
213,Flinders,-34.5833,150.8552,299.36,72,74,2.68,AU,2023-01-24 05:00:26
214,Camacari,-12.6975,-38.3242,295.75,93,35,1.65,BR,2023-01-24 05:00:26
215,Washington,47.5001,-120.5015,273.47,83,61,0.68,US,2023-01-24 05:00:26
216,Ceske Velenice,48.7685,14.9637,274.61,94,100,0.45,CZ,2023-01-24 05:00:28
217,Takoradi,4.8845,-1.7554,298.95,86,69,2.28,GH,2023-01-24 05:00:28
218,Hambantota,6.1241,81.1185,296.34,100,100,0.51,LK,2023-01-24 05:00:29
